id,transmit_time,device_id,fLat,fLon,entered_water,left_water,resurfaced,scheduled,remains_at_surface,moved,fH20Temp,nTimeToNxtUpd,fDepthMean,nSOC,low_battery,nDiveCount,fVelocity,fDepthMax,nDiveSeconds,is_backup,created_at,updated_at
129,"2025-05-29 15:19:50",2251,37.471351623535,-121.94020843506,1,,,1,,,,15,,96,,,0.23999999463558,,,0,2025-06-12T22:33:22.000000Z,2025-06-13T02:29:02.000000Z
131,"2025-05-29 15:34:00",2251,37.471630096436,-121.93981170654,,,,1,,,,15,,96,,,0.37000000476837,,,0,2025-06-12T22:33:22.000000Z,2025-06-13T02:29:02.000000Z
135,"2025-05-29 15:48:57",2251,37.47123336792,-121.94026947021,,,,1,,,,15,,96,,,0.059999998658895,,,0,2025-06-12T22:33:22.000000Z,2025-06-13T02:29:02.000000Z
138,"2025-05-29 16:03:19",2251,37.47123336792,-121.94026947021,,1,,,,,,0,,96,,,0,,,0,2025-06-12T22:33:22.000000Z,2025-06-13T02:29:02.000000Z
144,"2025-04-22 19:13:26",2251,37.471115112305,-121.94022369385,1,,,1,,,31.184953689575,15,,100,,,0.029999999329448,,,0,2025-06-12T22:33:23.000000Z,2025-06-13T02:29:02.000000Z
148,"2025-04-22 19:28:50",2251,37.471145629883,-121.94026184082,,,,1,,,31.752351760864,15,,100,,,0.10000000149012,,,0,2025-06-12T22:33:23.000000Z,2025-06-13T02:29:02.000000Z
152,"2025-04-22 19:44:30",2251,37.471145629883,-121.94026184082,,1,,,,,31.366771697998,0,,100,,,0,,,0,2025-06-12T22:33:23.000000Z,2025-06-13T02:29:02.000000Z
156,"2025-04-22 20:15:04",2251,37.471088409424,-121.9401550293,1,,,1,,,31.291536331177,15,,100,,,0.050000000745058,,,0,2025-06-12T22:33:23.000000Z,2025-06-13T02:29:02.000000Z
160,"2025-04-22 20:28:50",2251,37.471084594727,-121.94018554688,,,,1,,,31.796237945557,15,,100,,,0.019999999552965,,,0,2025-06-12T22:33:24.000000Z,2025-06-13T02:29:02.000000Z
164,"2025-04-22 20:43:59",2251,37.471141815186,-121.94023895264,,,,1,,,31.940439224243,15,,100,,,0.18000000715256,,,0,2025-06-12T22:33:24.000000Z,2025-06-13T02:29:02.000000Z
